Name,Time
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
UHURU KENYATA,16:05:56
